작성자,댓글,화수,날짜,좋아요 수,연관 댓글 수
^^,"뭐랄까, 이런 류는 꼭 주인공 각성 후 처음 가는 파티가 나쁜 놈들이던데.",나 혼자만 레벨업 19화,18.01.04,39,2
카후우치노,"우진철 감시과장,우진철 부장,우진철 협회장 이게 다 진우랑 만나고서 얻은 폭풍 승진입니다. 역시 줄을 잘서라...",나 혼자만 레벨업 204화,17.10.17,39,댓글 달기
루루,이 소설은 완전 울트라 초특급 그레이트 최고의 소설이었어요~♡♡♡,나 혼자만 레벨업 외전 21화(완결),17.10.10,39,댓글 달기
Lynn,다른건 모르겠는데 진우를 일부러 떨어트려놓기위한 억지설정느낌도 나고.. 이런설정은 별로네요,나 혼자만 레벨업 214화,17.09.30,39,댓글 달기
회귀란,회장아들이 이런 싹싹한눈치라니...아주 오랜만이야,나 혼자만 레벨업 23화,17.09.24,39,댓글 달기
러머트,"추공님 글쓰시면서 돌아오는거냐 아이언!쓸때 추공님도 솔직히 웃겼죠?
이거 올리면 재미터을것 같다는 생각 드셧쬬?/",나 혼자만 레벨업 외전 17화,17.09.23,39,3
케이,"얼마라고 했지?
300원이요..아..아니 300억이요..
등뒤에서 땀이 삐질 흐른다.
그리고 깨달았다. 좆됐다.
그렇게 진호는 생을 마감했다.
-END-",나 혼자만 레벨업 41화,17.09.21,39,댓글 달기
연참없으면기무로볼거야,외전도 끝나면 어쩌지... 진짜 죽도록 재밌고 난리야 짜증나게ㅜㅜㅜㅜㅜㅠ,나 혼자만 레벨업 외전 15화,17.09.18,39,댓글 달기
책을읽자,이 편 뭔가모르게 슬프네,나 혼자만 레벨업 외전 2화,17.09.07,39,1
나다엘,그나저나 초반에 나왔던 진우 핸드폰 번호 따간 여자 간호사는 잊혀진겨?,나 혼자만 레벨업 외전 12화,17.09.06,39,1
ㅇㅅㅇ,이 소설 처음볼때부터 느낀건데 작가님 엄청 잘 끊으신다 ㅂㄷㅂㄷ,나 혼자만 레벨업 141화,17.08.25,39,1
박중헌,"외전 완결을 알려드립니다.

다음 화부터는 '나 혼자만 연애' 가 연재될 예정이오니 솔로님들께서는 주의하시기 바랍니다.",나 혼자만 레벨업 외전 4화,17.08.17,39,3
매니악,"작가님  외전은 빨리 끝내야 제맛이니
500편은  너무 긴것같으니 300편만
씁시다~~  
우리도 양심이란게 있어서 말이지요",나 혼자만 레벨업 외전 2화,17.08.10,39,2
꺄르륵,아니 정말로 뜬금없는 생각이지만 진우의 아이템들 다 비가시화에서 가시화로 돌리면.... 이런 말하기 정말로 미안하지만 희대의 패션 또라이가 나타날 듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 49화,17.07.11,39,3
김보나사랑해,그림자군주 왠지 진우아빠인거같다...ㅎㄷㄷ,나 혼자만 레벨업 159화,17.06.04,39,1
해밀,"추공님 중간중간 국내외 여행도 다니시고, 힐링하는 시간을 가지시길 바라겠습니다. 작가님의 심신이 건강해야 이 재밌는 작품이 오래도록 연재될 것 아닙니까 우리 독자들은 그 정도는 감수할 것입니다. 아니 해야합니다. 독자 여러분 제 글을 추천하여 추공님이 볼 수 있게 해주십시오!!!",나 혼자만 레벨업 129화,17.05.28,39,댓글 달기
..,"베르: 왕이시여 저희들이 사력을다해 시간을 벌겠사옵니다 그틈에 왕은 다른놈들을 처치하시어 왕의권위를 드높이오소서
진우:어머니 죄송합니다 사극채널 없에야 할것 같습니다",나 혼자만 레벨업 216화,17.05.26,39,1
📚,"측정기 : 측정 불가 입니다.

정밀 측정기 : 측정 불가 입니다.

슈퍼 정밀 측정기 : 측정 불가 입니다.

울트라 슈퍼 정밀 측정기 : 측정 불가 입니다.

신 급 측정기 : 측정결과 SSS 랭크 입니다.

ㅋㅋㅋ",나 혼자만 레벨업 76화,17.05.24,39,5
혁.,두유 노우 갓리드??,나 혼자만 레벨업 193화,17.04.07,39,댓글 달기
꿍디,어디 소풍가는것도 아니고 자기 목숨걸고 들어가는 곳에 다수결이라.. 너무 민주적인거 아닌가요? 특히나 지한몸지키기도 어려운.. 흔히말해 1인분도 못하는 주인공이 한표행사해서 결국 들어가는걸로 결정나고말았는데 다른사람들은 아무런 불만이 없군요,나 혼자만 레벨업 2화,17.03.07,39,2
미니,"한편,한편을 완벽하게 쓰기 위한 작가님의 노력이라고 생각하겠습니다.. 댓글 다시는 거 보면 놀고 계시는 게 아니라 글에 몰두하며 작업하신다는 말을 종종 보았어요 .. 저야 한 번 올라온거 주르륵 보지만 그 글을 결코 한 번에 쓰시진 않겠죠.. 응원합니다 화이팅!",나 혼자만 레벨업 178화,17.03.02,39,댓글 달기
내알아할게요,자기가 볼때 아무리봐도 재미없기는개뿔 내가 소름돋게 재밌으면 다리떠는 버릇이 있는데 지진수준으로 떨음 얼마나 긴장했으면ㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 174화,17.02.24,39,2
몇년전댓글보는게젤쪽팔려,"예ㅔㅔㅔㅔㅔㅔㅔ!!!!!!
소리벗고 팬티질러!!!!!!!!!",나 혼자만 레벨업 159화,17.01.30,39,6
루크렌시아,그 부자집 아들이랑 레이드뛸때 힐러랑 아저씨 모셔가자!!!,나 혼자만 레벨업 33화,17.01.03,39,1
구아가,작가님의 낙은 댓글보기신가봐요 ㅋㅋ 잘보고있어요~~,나 혼자만 레벨업 29화,17.01.02,39,댓글 달기
윈터,아아 그 고장난기계로 측정했던 곳인가....?일터질줄 알았다..허허 댁은 이제 잘렸어,나 혼자만 레벨업 58화,16.12.21,39,댓글 달기
시로,5 ㅋㅋ,나 혼자만 레벨업 124화,16.11.25,39,댓글 달기
갈루마,"호의가 계속되면 권리인 줄 압니다. 네, 그게 접니다. 빼애액! 연참!",나 혼자만 레벨업 103화,16.10.23,39,댓글 달기
001,"추공도 사람입니다.
일단 재울거 다 재우고
먹을거 다 먹이고 
입힐거 입히고 모니터 앞에
앉혀둡시다.",나 혼자만 레벨업 84화,16.09.27,39,3
갓오브블랙필드,"하급궁수의장갑 위로 상급기사의 건틀릿을 낀건가..
어짜피 형태가 드러나지 않는다면 중첩착용이 가능하다는건가
무쟈게 강해지겠네",나 혼자만 레벨업 47화,16.08.03,39,3
ㅇㅇ,장담하는데 작가님 여동생 없을듯ㅋㅋㅋㅋㅋ,나 혼자만 레벨업 56화,20.01.27,38,2
오리너구리,음..? 차해인이 왜 질척거린다고 욕 먹는거지..? 약속대로 제일 강한 애랑 최선을 다해 싸우다가 졌다고 인정하고 관심있냐는 질문에 솔직하게 답한 것 밖에 없는데..?,나 혼자만 레벨업 135화,20.01.09,38,댓글 달기
마마살5000화연재기원,베르 기회있으면 사극말투 쓰려고 하네 ㅋㅋㅋ 좀있으면 왕이시여가 아니라 즈어어어언하아으아으아 이러는거 아니냐 ㅋㅋㅋㅋ,나 혼자만 레벨업 228화,19.12.28,38,댓글 달기
(계정날라가기0.5초전),와..S급 부부싸움 나면 ㄹㅇ 이찌 되는거여 ㅋㅋ,나 혼자만 레벨업 134화,19.12.06,38,10
이현우,이 장면을 몇주만 있으면 그림으로 보게된다는 생각에 내 젖꼭지가 춤을춘다.,나 혼자만 레벨업 118화,19.11.28,38,2
비니~~~,갸미갸미 ㅋㅋ 귀염,나 혼자만 레벨업 후일담 1화,19.09.01,38,댓글 달기
라우라,"그러고보니 헌터들에게 너무 특혜가 없긴 하네
군인들처럼 국가 안보를 목숨을 걸고 힘쓰는데
연금 혜택도 없고 활동지원이나 집등의 혜택도 전혀 없이 굴리네
당장 헌터들 d급e급 다 빠지면 자잘한 던전들 막을 인재가 없어서 d급 던전이라도 브레이크되면 시민들은 속수무책으로 학살당하는데
게다가 대체불가능한데다가 국내에서 유일하게 s급게이트 막을 사람한테도 마저ㅋㅋ",나 혼자만 레벨업 147화,19.08.04,38,4
🐷🔥💯,모두가 안전해져서 좋은 결말이기는 하지만.... 한편으로는 자신들을 위해서 희생을 한 영웅을 아무도 기억하지 못한다는 것과 헌터라는 개념이 사라지게 되는거는 뭔가 아쉽다....,나 혼자만 레벨업 243화(완),19.06.27,38,1
어어오아앜ㅅ노나니ㅓ,"이소설 주인공은 항상 중요할때 없고 
피해가 커지고 나면 나오네 패턴이 항상 똑같아
단 한번도 미리 대비하거나 빨리 대처한적이  없다 중요할땐",나 혼자만 레벨업 214화,19.06.23,38,댓글 달기
사람,"아크리치 진우하고 만났으면 엄청 기뻐할텐데, 그리고 진우도 아크리치한테 필요한정보도 가지고 있는것같으니서로 좋았을텐데 학교에서 던전브레이크가 왠일이야 ㅠ ㅠ",나 혼자만 레벨업 144화,19.06.08,38,2
겟겟겟게러,아..진짜 클리셰라면 클리셰인 결말인데 강철의 연금술사처럼 먼치킨물을 두근두근 봐왔던 독자는 항상 먼치킨물의 결말이 너무나 아쉽다ㅠ 다들 먼치킨의 권력을 포기하고 평범한 일상을 택하더라......단 한번도 먼치킨을 경험못한 나는 그들의 심정을 절대 모르겟지만 소설이자나?ㅠㅠㅠ100번봐도 100번 다 안타까운 결말일듯ㅠㅠㅠ,나 혼자만 레벨업 243화(완),19.05.05,38,댓글 달기
커피맛을알아버린꼬맹이,"솔직히 말해서 이제 베댓 안읽고 지나가게 된다...
맨날 내용 바꿔서 연참 연참 거리는거 뿐...
내용에 대한 얘기는 없구나...",나 혼자만 레벨업 94화,19.04.30,38,1
jackpot,주희가 고생해서 살려놨더니 차해인이랑 사귐ㅜ,나 혼자만 레벨업 외전 1화,19.04.25,38,1
폰하이드,이번화는 베르의 기억이 확실히 감동적이네요.,나 혼자만 레벨업 외전 6화,19.03.18,38,댓글 달기
개졸림,형 여기서 태클을 걸면 좀 이상하긴한데 아까 단검 손에다가 묶지않았어?? 근데 어떻게 역수로 쥐는거야??........,나 혼자만 레벨업 239화,18.12.23,38,3
럽리,"역겹다. 짐승ㅅㄲ가 울 토마쓰 산채로 뜯어먹을 때 진심으로 짐승이 역겨웠고 쥔공에 대한 분노와 역겨움이 울컥 솟았다. 여태 신나게 지르며 정주행 하고 있었는데 그걸 끊고 몇 화에 걸쳐 댓글을 쓸 정도로 화가난다. 진우가 등장한 장면에서 참지 못하고 댓창 왔는데, 진심으로 진우가 한번쯤은 처참히 발리길 원한다. 그러고서 또 한계 돌파하든말든.",나 혼자만 레벨업 215화,18.11.01,38,3
다재밌어🎉,근데.. 이러면 협회가 너무 무능하다 생각밖에 안드는데..,나 혼자만 레벨업 143화,18.10.15,38,6
carat,이그리트의 시점으로만 한권 만들었으면...흠흠...,나 혼자만 레벨업 외전 5화,18.09.22,38,댓글 달기
惡神,머릿수만 채우는 용도의 S급 헌터,나 혼자만 레벨업 132화,18.08.22,38,3
지훈,이런...3일만에 다봐버렸다...,나 혼자만 레벨업 후일담 6화(완결),18.07.16,38,5
누룩곰팡이,주인공이 고자가 아니라 정상인 인거 아님? 호감이 있으면 꼭 사귀고 섹스해야됨?,나 혼자만 레벨업 133화,18.06.30,38,6
Elle,"이런 류의 글을 읽으면서 생각하는건 저렇게 몇십억 몇백억이 쉽게 벌리는 시스템이면, 경제 밸런스 안무너지려나?",나 혼자만 레벨업 34화,18.03.13,38,3
배고파,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ베르랑 벨리온 궁합 척척맞넼ㅋㅋㅋㅋㅋㅋㄱ,나 혼자만 레벨업 232화,18.03.10,38,댓글 달기
jack,아마 저 단검이 당첨이 었을텐데 ㅋㅋㅋㅋ 우리 이그리트 수호가 단검 안 들고 와서 당황했겠다.,나 혼자만 레벨업 후일담 4화,18.03.08,38,댓글 달기
서리,너의 할아버지와 아버지 모두 단검을 썼는데.. 너무하는구나 ㅠ,나 혼자만 레벨업 후일담 4화,18.03.08,38,댓글 달기
서칭포슈가맨,"첨에봤을때는 이번화 외전은 신경안썼습니다
그런데 두번째보니 나름 중요한화입니다
이유1ㅡ1 그림자군주가 성진우를 오랫동안 지켜봤다고 했었죠
1ㅡ2 용제가 성진우와 싸울때 삶과죽음의 경계에 있었기에 인간임에도 그림자군주의 힘을 고스란히 받았다고 생각합니다
이번화는1ㅡ1과 1ㅡ2의 증거이죠",나 혼자만 레벨업 외전 1화,18.02.01,38,1
아무개,개미도 여자랑 썸타는데ㅡㅡ,나 혼자만 레벨업 143화,18.01.07,38,4
3ㄷ,혼자만의 외로운 싸움이 처음에는 무슨 의미인지 몰랐는데 다보고나니까 소름짝돋네,나 혼자만 레벨업 237화,17.12.17,38,3
..,뭐야 이 병신은? 이랰ㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 92화,17.12.03,38,댓글 달기
1번메일,그래 훌륭한 상급 경험치 3마리가 스스로 오는구나,나 혼자만 레벨업 203화,17.11.22,38,댓글 달기
파란바람,"일어나라.
[띠링~ 깨어나는데 실패했습니다.]

어?? 일어나라!!
[띠링~ 깨어나는데 실패했습니다x2]

장난하지말고, 일어나라!!!
[띠링~ 깨어나는데 실패했습니다.x3
3회실패. GAME OVER~~]",나 혼자만 레벨업 220화,17.11.13,38,2
나빌레라,아임 코리언. 아이 원투 리드 모어,나 혼자만 레벨업 67화,17.11.05,38,1
어어어음그래,의사:그게 총알이 영 좋지 않은곳에 맞았습니다,나 혼자만 레벨업 98화,17.10.20,38,4
레못플보세요졸잼,이런게 사랑인걸깤ㅋㅋㅋㅋㅋ도랏ㅋㅋㅋㅋㅋ개터짐,나 혼자만 레벨업 외전 17화,17.10.08,38,댓글 달기
권형원,실종된 200캐시를 찾습니다,나 혼자만 레벨업 210화,17.10.07,38,4
죠니,남의 던전에서 왜 그래.. 님아 자제 좀...,나 혼자만 레벨업 82화,17.10.03,38,댓글 달기
아주_평범한_포돌이,"진우:매일 달리기를 하고 있거든...
그리고 하루 팔굽혀 펴기 100번 윗몸 일으키기 100번 스쿼트 100번를 이걸 매일 반복한다!",나 혼자만 레벨업 31화,17.09.28,38,3
킴미,유진호가 영어를 못한다는건 이해하기 어렵네요. 출신대로라면 영어정도는 자유자재로 해야죠.,나 혼자만 레벨업 198화,17.09.25,38,1
영마마,황동수.. 어쩜 형과 다를바가 없냐. 머리가 없다... 무조건 화내는건가.. 아니 형보다 못한듯... 아빠의 등장 두둥~ 분명 진우에게 필요한 정보를 가지고 있을텐데..,나 혼자만 레벨업 68화,17.09.24,38,댓글 달기
리에레이,아이언! 돌아오는거냐! ㅋㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 외전 17화,17.09.23,38,댓글 달기
B.P,"둘은 서로에게 공격♂을 퍼붓기 시작했다.

태식: 소방차는 빨간불에도 멈추지 않아 boy♂
진우: The Deep♂ Dark♂ Fantasys♂

주희: (갸아아앍)",나 혼자만 레벨업 31화,17.09.12,38,1
J.,"보란 듯이 앞으로 내밀고서는
챙그랑 한푼
챙그랑 두푼(참 많네~)💰
조용했던 보스방 안에 금속과 석판이 부딪치는 소리가 요란히 울려 퍼졌다.",나 혼자만 레벨업 48화,17.09.06,38,댓글 달기
서월(曙月),이야 세계수 껍대기로 지팡이모양만든다음 구슬 껴놓으면 최강아님???,나 혼자만 레벨업 73화,17.08.23,38,4
☆☆☆☆☆☆,가족의 길을 같이 가려 한국까지 와 주다니,나 혼자만 레벨업 36화,17.08.02,38,1
꺄르륵,"[와랏 성진우!]
'진아'님이 성진우를 소환하셨습니다.",나 혼자만 레벨업 142화,17.07.21,38,1
재밌는거없나,진아: 구려.,나 혼자만 레벨업 136화,17.07.01,38,1
다쿠아즈,베르가!!!!! 안나왔어!!!!!!!!!,나 혼자만 레벨업 230화,17.06.29,38,댓글 달기
리아,"넌 오른쪽
넌 왼쪽
넌 뒤
넌 앞
나는 가운데.

집필을 시작한다.

마법이 시작되었다.
<인법! 오차원의 집필술!>
쿠구궁!
거대한 책 하나가 다섯 명의 사이로 올라왔다.

<세계의 눈물이여, 차원의 조각이여, 나의 앞에 모습을 드러내 그 속을 집필하라!>
하나의 거대한 눈물 모양의 파란 조각 하나가 하믈에서 떨어졌다.
마침내..

세계연참, 무한연참공!",나 혼자만 레벨업 228화,17.06.21,38,4
와라이바,"전세계 어딘가에 있으리라 생각했다. 그리고 그것은 맞았다. 추공이 자신의 직박구리 파일안에 연참파일을 숨긴것이다.    ""찾았다""",나 혼자만 레벨업 221화,17.06.07,38,1
--,200화 축하드립니다!!,나 혼자만 레벨업 200화,17.06.07,38,댓글 달기
달의,아니...  패널티퀘스트가 다시 같을꺼라는 생각을 하다니... 편해졌구만...  패널티인데 강해질수록 패널티도 달라진다고 생각하는 나만 그런가...,나 혼자만 레벨업 43화,17.05.31,38,댓글 달기
쉼터,개미왕의 그림자는?,나 혼자만 레벨업 122화,17.05.23,38,댓글 달기
김현,"오 송치열 헌터. 진짜 오랜만에 나오네요.
이중던전 생존자 송씨 아닙니까ㅎ 팔 하나 잃고, 차해인 스승 노릇하고 있었구나ㅋ
깨알같은 등장이긴 한데, 갑작스럽게 뜬금없이 집어넣으셨네요ㅋㅋ",나 혼자만 레벨업 211화,17.05.20,38,2
한울,작가님 무리하게 주5연재나 연참하지 마시고 주 3연재나 주 2연재 하시면서 비축분 쌓으시고 비축분이 많을 때마다 연참하시는 게 작가님에게도 독자들에게도 좋습니다.. 연재일이 정해진 이유가 뭡니까. 독자와 작가의 약속인데 이걸 한 두번도 아니고 매번 깨뜨리시면 독자들은 매번 큰 실망을 합니다. 부디 이 글 보시고 행해주시길..,나 혼자만 레벨업 194화,17.04.11,38,3
익명,응?,나 혼자만 레벨업 182화,17.03.08,38,2
정성준,"추공님 여기까지 제가 왔습니다
하루만에",나 혼자만 레벨업 175화,17.02.26,38,3
이그니스,"추공님, 이제까지 얘기 안꺼냈지만요
용기내서 한번 말씀(건의)좀 드리겠습니다.

성진우 가족관련해서 인데요
아파트에서 활동하면 일반주민및
 주변 시민들에게 불편한건 두번째고요

첫번째로 외부인(헌터)의 암살위험이 있을텐데요
그럼에도 불구하고 아파트에서 사는 이유가
궁금합니다.
옆동네 혼레합보고 알았는데요
저택에서 살면 안전하지 않을가 듭니다.",나 혼자만 레벨업 169화,17.02.15,38,6
크로기아,"""이...이게 대체...?""
""뭐야 여긴?""
댓글창에 수없이 많은 독자들이 쓰러져 있었다.
""저, 저거!""
남은 독자 하나가 손을 들었다.
그 손가락 끝이 가리키는 곳에는 어마어마한 크기의 집이 있었다.
""있었어...드디어 도착했어!""
""추공님!""
독자들이 집으로 달려갔으나, 갈수없었다.
""저기...저기에 뭔가가 있어요.""
.
..
...

""개학 축하해""",나 혼자만 레벨업 161화,17.02.01,38,2
구태우,여자의 감이란 무섭군,나 혼자만 레벨업 59화,17.01.30,38,댓글 달기
깝치는비둘기,김칫국 몇사발을 마시는거야,나 혼자만 레벨업 146화,17.01.21,38,댓글 달기
다미,"-로맨스-
독자는 추공의 필력에 감동하여 댓글을달았다
""엉엉 날 가져요 추공님ㅜㅜ""
그때 알림이 울렸다
<추공님이 이댓글을 좋아하십니다>
독자는 알수없는 감정을 느꼈다.

두근두근

그후로도 댓글에는 추공의 좋아요가 눌러졌다
그좋아요는 한 독자의 마음을 호감에서 사랑으로 바꾸고 있었다
'추공님에게 도움이될만한것이 없을까..?'",나 혼자만 레벨업 157화,17.01.19,38,10
이그니스,"10시에 업뎃하시거든 친송댓글이 이어지고
11시에 업뎃하시거든 원망댓글을 합니다.

이 모든것을 회개할수 있는 유일한 방법

연 참

오직 하나뿐이로다...",나 혼자만 레벨업 151화,17.01.10,38,3
애니제국,전설에달빛조각사로전직각,나 혼자만 레벨업 46화,17.01.06,38,1
돌아온대봉,솔직히 주인공처럼 스탯각성하면 현실이라면 당연히 체력측정부터 해야되는게 똑똑한거. 2포만 올려도 엔간한 공식 다나오는구만. 100미터 달리기부터 해서 근력측정 순간가속도 동체시력 등 다측정해서 기록하고 1포찍고 재측정하고 다시 1포찍고 측정하면 통계상 공식 다 나옴... 단순히 민첩 1대1이든 근력몰빵이든 돼지목에 진주목걸이.,나 혼자만 레벨업 14화,17.01.02,38,4
아무래도그렇죠,응 아니야 헌터스 꺼져 괜히 울 쥔공한테 집쩍대지말고ㅋ,나 혼자만 레벨업 76화,17.01.01,38,댓글 달기
냥냥이,헌터헌터 생각난당 왕이 태어났군?ㅋ 개미 날고 사람 모양일때부터 생각했는데 진짜 헌터헌터넹,나 혼자만 레벨업 115화,16.12.11,38,댓글 달기
달리는무,"""이게 무슨일이래?""
""휴제만 좋아하는 추공이 연참을 했다는거야""
""드디어 비축분을 푼건가?""
심지어 다른 독자들조차 고개를 갸웃거렸다.
연참의 이유를 아는 사람은 200캐시,이그니스 두사람이 전부였다
"".....""
두사람은 서로 눈치를보다가 200캐시가 전화기를 들고 어디론가 통화를 하였다.
""oo동 oo건물 지하13층에 군만두 배달요.""",나 혼자만 레벨업 112화(수정),16.11.08,38,댓글 달기
200캐시뽑기권,다음편을 내놔라 추공,나 혼자만 레벨업 99화,16.10.17,38,댓글 달기
200캐시뽑기권,주술사가 죽어서 검은 마법사로 올라오고 등급은 정예 기사 등급나오고 이름은 어금니?,나 혼자만 레벨업 91화,16.10.04,38,2
이광효,얘 왤캐 짜증나나요 저번부터 바로 나가면 되는건데 굳이 사람이 죽기 전까지 몰려야만 나가네요 주인공이 상당히 좀 그래요,나 혼자만 레벨업 88화,16.10.01,38,13
산화,주인공이 너무 현실을 외면하는 습성이 강하네요;; 이미 믿기 힘들정도인 일을 계속해서 겪고있는데 뭐만하면 에이..설마 하고 넘어가는게 심한듯.. 시간이 지나면서 주인공 정신력도 같이 성장했으면 하는 바램입니다ㅎ,나 혼자만 레벨업 11화,16.09.04,38,1
마두마빈,"왠지 신들끼리내기같은거해서
그세계의강자들을모으고
강하게해서토너먼트하는거
같은느낌같은느낌..",나 혼자만 레벨업 67화,16.08.24,38,댓글 달기
파라다이스,2달동안  업해서  s랭크 이기는건가,나 혼자만 레벨업 36화,16.07.29,38,댓글 달기
뵤짝,"작년 19년도에 소설 다 산 사람입니다. 오늘도 어김없이 정주행을 하고 한 번도 보지 않았던 댓글을 쭉 읽어봤는데요...
실례지만 글을 쓰기 위해 얼마나 많은 시간이 드는지 아시나요? 독자가 읽는 기쁨을 더 느끼게 하기 위해 작가님이 열심히 쓰고 수정을 반복하며 심혈을 기울여 쓴 건데... 뭐가 불만이면 그냥 보지 마세요. 악플 달지 말고. 무슨 심리죠?",나 혼자만 레벨업 195화,20.11.02,37,2
아방방,성진우 너무해ㅠㅠ ㅋㄱㅋㄱㅋㅋ 토마스가 선물 준비해서 신나게 얘기하려는데 뚝. ㅋㅅㅋㅅㅋ ㅠㅠ,나 혼자만 레벨업 203화,20.03.08,37,1
어이거기그래너,30페이지ㅋㅋㅋㅋㅋㅋㅋㅋㅋ협회장 할아버지 이분 웃기는 분이네ㅋㅋㅋㅋㅋㅋㅋㅋ뭔 생각을 한거야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,나 혼자만 레벨업 134화,20.01.16,37,5
ㅇㅇ,초반 꿀잼이라 완전 달렸는데 미자랑 자는걸 개그코드로 쓸때부터 엥?스럽더니 좀 이상해지네요 전개도 개연성도 주인공성격도... 작가님 사상이 좀 많이 아재스러움; 전 여기까지만 달리고 기무로 볼게요 웹툰이 소설의 이런점들을 보완해서 나온듯,나 혼자만 레벨업 85화,20.01.14,37,4
아르르왈,아아.....지능이 낮아서 지능의 중요성을 몰라 계속 올리지 않다가 또 지능이 낮은상태로 악순환을 반복하는 것인가.....으어어어,나 혼자만 레벨업 24화,20.01.07,37,댓글 달기
나유,성일환씨 집에나 좀 들어가세요...,나 혼자만 레벨업 153화,19.11.22,37,댓글 달기
사람,작가님 우진철도 좋지만 저는 차해인이 기억을 되찾는걸 보고싶습니다 ㅠ ㅠ,나 혼자만 레벨업 외전 11화,19.07.11,37,2
strategy,셀너부인은 시간을 돌리기전의 일부터 현재의 일까지 모두 알고있는걸까용?,나 혼자만 레벨업 외전 16화,19.04.05,37,1
006,와 이거 3번째 보고있는데 웹툰으로 빨리 이 장면 나왔음 진짜 좋을듯,나 혼자만 레벨업 외전 18화,19.01.07,37,7
가리겟게,글고보니 베르는 포식자라는 능력 덕분에 민병구의 머리를 뜯어먹어버려서 치료능력이 생겼었지 참,나 혼자만 레벨업 143화,18.12.15,37,2
에반,"침략자가 항복을 요구하며 딸을 빌려달라는건
얼굴반반하니 하룻밤데리고 놀겠다 이런소리로 많이쓰이는거라 다른분들이 생각하는 핑크핑크한 느낌은 아닐듯 ㅋㅋㅋㅋㅋㅋ",나 혼자만 레벨업 102화,18.11.14,37,1
여드름푯..,"...
'아 전국 헌터가 다모였으니 위험은 없겠지'
가 아니라
'전국 헌터가 다 모일 정도로 위험한 게이트다. 심지어 그 규모는 역대급. 마력은 측정불가.'
가 되야 하는거 아님..?
성진우 하나만 보고 온
최고위급 '외국인' 헌터들이 게이트에서 싸우고 있을 정도인데
정작 그 최고위급 중에 최최최고이자 한국인인 주인공은 뭐하는지..",나 혼자만 레벨업 214화,18.09.01,37,댓글 달기
고먐미빔,나라가 비상사태고 토마스 뼈아작나고 사람들이 죽었는데 성진우는 그전까지 여자랑 데이트하러 딴나라가서 협회랑 연락도 안됐다는게 어이가 없음.. 답답,나 혼자만 레벨업 215화,18.06.09,37,댓글 달기
하리♡태무,미래에서 왔습니다 훗날 독자분들은두발로 걷는 개미를 찬양할겁니디,나 혼자만 레벨업 18화,18.04.18,37,4
이요라나~,아저씨 혼자 김칫국 드링킹 하지마! 진우는 해인이 꺼❤!!,나 혼자만 레벨업 146화,18.03.18,37,댓글 달기
모아나,마수공략집 내면 베스트셀러되겠다 노후연금 띠링띠링💰,나 혼자만 레벨업 185화,18.03.17,37,5
배뎃시켜주는마나,"아니....후일담 나올줄 모르고
끝난줄알고눈물 나올까봐...이작품계속피했거든요...
끝나는게 아쉬어서...
연재가 될때는 안끝나겠지 하고
계속봤는데 제맘속의 즐거운 추억인데...
후일담 까지 끝나니까 울컥하네요......
추공님 감사해요 ....
이작품으로 희망이 생겼어요....감사해요ㅠㅠㅜ지금 울고있는데 너무
힘들네요...끝났다는게 믿기지가 않아요..ㅠ",나 혼자만 레벨업 후일담 6화(완결),18.03.13,37,2
Fiore,"베르: 저도 총군단장 참 좋아하는데요, 한번 도전해 보겠습니다.",나 혼자만 레벨업 227화,18.03.09,37,댓글 달기
기간테스,어우 협회장 미쳤나 뭘  어떻게 하면 쿠구궁 소리가 나는데 그런 반응이 나오지?,나 혼자만 레벨업 134화,17.12.21,37,댓글 달기
마이트,주인공 진짜 왜이러냐,나 혼자만 레벨업 83화,17.12.03,37,댓글 달기
세인,추공의뜻: 높고 맑게 갠 가을 하늘,나 혼자만 레벨업 152화,17.11.04,37,4
22,쥔공 컨셉은 지랄난 후 짜잔하고 등장하는 딋북형인가?,나 혼자만 레벨업 214화,17.11.04,37,댓글 달기
냐앙,두근두근 일본 엿먹일 생각에 두근 ㄲㄲ,나 혼자만 레벨업 106화,17.11.02,37,댓글 달기
헬리카,아낙 벨리온은 왜또 이렇게 귀욤 터지냐 ㅋㅋㅋ,나 혼자만 레벨업 232화,17.10.26,37,1
케이,진우는 코난과 동급이네..언제어디서든 사건을 몰고다니네..,나 혼자만 레벨업 81화,17.10.21,37,댓글 달기
메치카불라,"진우 : 일어나라
개미 : 5분만...",나 혼자만 레벨업 123화,17.10.18,37,1
ebs,다들 저 안에 마수가 남아있을 것이라고 믿어 의심치 않고 있어...ㅋㅋㅋ 정말 그렇다먼 성진우씨 사건 마주치는 횟수가 아주 코난급인데요??,나 혼자만 레벨업 81화,17.10.15,37,댓글 달기
참고,"작가님 예를들어 다른소설을쓴다던가
외전2를쓴다던가 이런건없습니까?",나 혼자만 레벨업 외전 20화,17.10.06,37,1
