번호,작성자,작성일,댓글,회차,좋아요,대댓글수
686,선생,21.02.22,전부 장진명 자네 바지가 좀 이상하이 허헐!참참참!!,절륜환관 44화,2,댓글 달기
687,수산시험장,21.02.21,무섭네 보는사람 생각을 압서가네,절륜환관 114화,2,댓글 달기
688,yeohaklee,21.02.21,49년동안 동정간직.으~손떠는거 아닌지요 정신을 차리시지요.,절륜환관 46화,2,댓글 달기
689,선생,21.02.21,"봉
의미심장
무엇을 의미하는걸꼬.  될성부른 고자는 알고있다.
봉이 뭔지",절륜환관 40화,2,댓글 달기
690,선생,21.02.21,"이야!! 주고치 일사천리, 전광석화",절륜환관 35화,2,댓글 달기
691,김정우,21.02.21,"금의위 위사들이 익히는 구룡대라신공...
이름이 너무 기니 줄여서 구라신공이라 합시다.",절륜환관 40화,2,댓글 달기
692,선생,21.02.21,"고자다운 고자. 뼛속까지 고자
본성이 고자. 날때부터 고자
캬아아!! 고자났네 고자났어",절륜환관 33화,2,댓글 달기
693,1020choi44,21.02.21,사공천수왈:  나는 그럼  거시기를  걸겠다,절륜환관 92화,2,1
694,정두한,21.02.20,요즘 최고의 글임,절륜환관 115화,2,댓글 달기
695,yeohaklee,21.02.20,"고자가 남자로써는 흠보다 더한 자존감의 문제겠지만,환관은 남자이길 스스로포기하고 삶을개척하는 사람이기에 흠이될수없지만,자격지심이겠지.",절륜환관 30화,2,댓글 달기
696,하늘위푸른바다,21.02.20,",오홍홍홍홍.",절륜환관 114화,2,댓글 달기
697,선생,21.02.20,"왕: 왕재수
진: 진짜없다",절륜환관 20화,2,댓글 달기
698,우르산대공,21.02.19,근데 가만히 묘사하는 거 보면 완전 뱀파이어들인데??,절륜환관 69화,2,댓글 달기
699,도미니꼬13,21.02.19,수천계와 사파가 붙으려나? 붙어먹는건 아니겠지?,절륜환관 114화,2,1
700,주님한명가요,21.02.19,너무 재밌어... 전고자일족 현기만고자지만... 응원한다 장진명이! 끼요오옷!,절륜환관 1화,2,댓글 달기
701,벚꽃지는날,21.02.19,"요약하면 '아 니가 공적으로 업무분야 나뉜다는 얘길 했든 어쨌든 난 그런거 잘 모르겠고 일단 우리 무시하는걸로 들려서 기부니가 매우 나쁘니 사과해. 아님 사생결단 내보든가'

...이러니 도독이고 뭐고 별 수가 있나ㅋㅋ
주인공편이니 응원하는거지 객관적으로 보면 저따위 조직이 권력을 틀어쥐는 시스템을 만들어놨으니 왕진 같은 놈한테 나라가 망하지 하고 이해됨ㅋ",절륜환관 64화,2,댓글 달기
702,슈달,21.02.19,작가님 소오름...,절륜환관 84화,2,댓글 달기
703,수산시험장,21.02.19,살다 살다 고자신공은 첨인데,절륜환관 12화,2,댓글 달기
704,연록흔好,21.02.18,무섭따,절륜환관 94화,2,댓글 달기
705,연록흔好,21.02.18,"아ㅡㅡ어떡해
내시 환관들이 점점  맘에드는데..ㅎㅎ",절륜환관 92화,2,1
706,연록흔好,21.02.18,"후유
숨도 못쉬겠으요",절륜환관 84화,2,댓글 달기
707,연록흔好,21.02.18,"고자 일언은 중만금이요!
와우  새로운 명언일쎄!",절륜환관 74화,2,댓글 달기
708,1020choi44,21.02.18,환관의  내기라니  인생  최고의  작품!  김용의  녹정기가  갑자기  생각나네  시간내서  한번더  읽어야겠다,절륜환관 33화,2,댓글 달기
709,1020choi44,21.02.18,아오씨!  나도  이제  고자다!  너거들  다  죽었어,절륜환관 33화,2,댓글 달기
710,연록흔好,21.02.18,거창 하네요ㅡ드라마  보는느낌,절륜환관 50화,2,댓글 달기
711,신의버섯수,21.02.18,끼요옷!!!!!,절륜환관 85화,2,댓글 달기
712,IJ,21.02.18,저도 하루만에 다왔네요ㅋㅋ 이소설 꼭 보세요,절륜환관 112화,2,댓글 달기
713,신의버섯수,21.02.18,끼..요..옷..!!!,절륜환관 72화,2,댓글 달기
714,IJ,21.02.18,손병호 게임을 명나라에서ㄷㄷ,절륜환관 77화,2,댓글 달기
715,죄송합니다...,21.02.17,고자거리는것만 적으면 지하철에서도 볼수있으련만...,절륜환관 50화,2,댓글 달기
716,SKim,21.02.17,고자와 여인문파라 합이 잘 맞는구나..,절륜환관 7화,2,댓글 달기
717,늘푸르른남자,21.02.17,환관들 마인드가 참 웃프네요,절륜환관 33화,2,댓글 달기
718,벚꽃지는날,21.02.17,"전형적 정복군주인 영락제가 비만에 운동과 팽창정책을 싫어하는(아빠가 전쟁한답시고 집안 파산시키는거 수습하는 입장에선 당연하다만..) 주고치를 매우 마음에 들어하지 않았음에도 태자로 삼은 이유는

1.그래도 전쟁 뒷바라지랑 내정은 확실히 잘해서
2.활동적인 첫째손자가 맘에 쏙 들어서(정작 손자도 할아버지 전쟁빚에 시달린건 함정)
3.《차남이 ♪~♩♩라서..》",절륜환관 40화,2,댓글 달기
719,pjy020512,21.02.17,퍼음에는 고자 소리가 괜찮았건만 한 편당 고자라는 말아 20번씩 나오고 모든 단어를 통틀어 고자라는 말이 계속 나오니 정신 나갈 거 같애 정신 나갈 거 같애 정신 나갈 거 같애 정신 나갈 거 같애,절륜환관 38화,2,댓글 달기
720,진진,21.02.17,내용이 참으로 절륜한게 재미짐니다!,절륜환관 54화,2,댓글 달기
721,신의버섯수,21.02.17,끼여옷$¥£,절륜환관 60화,2,2
722,신의버섯수,21.02.17,끼요요요옷!!,절륜환관 51화,2,댓글 달기
723,신의버섯수,21.02.17,끼요옷(^^)/,절륜환관 47화,2,댓글 달기
724,진진,21.02.17,끼요옷!!!윽 소름ᆢ귀에서 들리는거 같에--;;,절륜환관 39화,2,댓글 달기
725,신의버섯수,21.02.17,환관이 흥하면 나라가 망한다더니 진짜네 도박을 즐기다니 ㅋㅋㅋㅋ,절륜환관 33화,2,댓글 달기
726,선생,21.02.17,"맞아 고가놈.
약점은 알고 있겠지.",절륜환관 8화,2,댓글 달기
727,신의버섯수,21.02.17,끼요옷!,절륜환관 22화,2,댓글 달기
728,슬리퍼,21.02.17,난 문피아에서 110화까지 보고왔지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,절륜환관 111화,2,댓글 달기
729,박정출,21.02.17,"아아..
 미운사람..ㅋㅋㅋ",절륜환관 77화,2,댓글 달기
730,연록흔好,21.02.16,덕분에  일찍 출세하겠네ㅡㅡ왕진억울하겠쏘,절륜환관 20화,2,댓글 달기
731,연록흔好,21.02.16,혹시  작가양반이 그쪽에 계셨나....,절륜환관 14화,2,댓글 달기
732,송아랑,21.02.16,이말년: 끼요옷은 내꺼다!!!끼요옷!!!,절륜환관 39화,2,댓글 달기
733,종합병원,21.02.16,멀쩡한놈 폐인에 고자로 만들었으니... 복수혈전 가즈아!!!,절륜환관 31화,2,댓글 달기
734,방구석골램,21.02.16,좋다 말은 쥔공,절륜환관 28화,2,댓글 달기
735,연록흔好,21.02.16,"일단 시작은  냄새가 나네요
킁킁킁킁 재미질거라는ㅡㅡ",절륜환관 1화,2,댓글 달기
736,너울ii,21.02.16,아직안봣는데 거시기 그럼 무사한건가요?,절륜환관,2,댓글 달기
737,방구석골램,21.02.16,마공맞네!,절륜환관 7화,2,댓글 달기
738,방구석골램,21.02.16,"애국가 대신 반야심경이 나오네...
애국가 아닌거 오랜만에 본다...",절륜환관 4화,2,댓글 달기
739,아쏘,21.02.16,여러분 이거 달리세요 웅장함을 느낄 수 있으실 겁니다!!,절륜환관,2,댓글 달기
740,전정철,25.05.03,"서화를 다루는 집의 여주인 이던가
그이 앞에서 내기 걸었었지,,,",절륜환관 90화,1,댓글 달기
741,잘살어라,25.05.01,이넘이 사회생활이 절륜이넹,절륜환관 108화,1,댓글 달기
742,쩝쩝석사_쩝쩝박사과정,25.04.30,ㅠㅠㅠㅠㅠ작가님 전생에 고자 일족이었나요ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,절륜환관 78화,1,댓글 달기
743,루제노,25.04.29,용두사미의 대표작.,절륜환관 394화,1,댓글 달기
744,혼술남625,25.04.29,...오늘은 왠지 술한잔하기에 딱 좋은 날씨구나🍻🍻🍷🍻🍻🍸🍗🍗🍕🍕🍤🍤.....🌧🌧🌧☔️☔️☔️,절륜환관 64화,1,댓글 달기
745,모젤,25.04.29,흡혈귀냐~~? 끼욧,절륜환관 69화,1,댓글 달기
746,ㅇㅅㅇ?!,25.04.26,주인공의 가짜 고자인생 알면 다들 거품 물겠군,절륜환관 151화,1,댓글 달기
747,김은우,25.04.25,대 고 자,절륜환관 33화,1,댓글 달기
748,ㅇㅅㅇ?!,25.04.24,고자의 벗은 고자인데ㅋ 실상 주인공 현생은 고추 감춘거자나 나중에 알면 배신감이 상당하겠는데?,절륜환관 97화,1,댓글 달기
749,ㅇㅅㅇ?!,25.04.24,문득 작가님은 전생에 어떤 환관의 길을 걸었을까 생각이,절륜환관 91화,1,댓글 달기
750,등대지기,25.02.09,계속 이런식으로 주저리 주저리 주저리 또 주저리 주저리 그런 책이면 ㆍ ᆢ 그만 봐야것지 자까님 짜증나네,절륜환관 186화,1,댓글 달기
751,등대지기,25.02.09,아니 ᆢ긍까 그 좋다는 영약 쳐먹엇냐고 ᆢ아이고 주저리 주저리 참 답답하네ᆢ자까님,절륜환관 184화,1,댓글 달기
752,등대지기,25.02.09,아 참 ᆢ주저리 주저리 한 얘기 또하고 또하고 또하고 또하고 또또하고 ᆢ짜증나거던 자까님 ᆢ,절륜환관 182화,1,댓글 달기
753,JSH,24.03.04,진심 감탄했다. 절대 빠지지 않는 오글거림에,절륜환관 279화,1,댓글 달기
754,JSH,24.03.03,이 소설에서 벙어리들이 무공을 펼치면 어찌할지? 맘 속으로 합창을 하려나?,절륜환관 270화,1,댓글 달기
755,무뇌충,24.03.02,억지로 만들어 가는 오버 오버 페이스의 중국영화 한 장면같은데요.. 뭐 곧 지나 가니까요,절륜환관 237화,1,댓글 달기
756,무뇌충,24.02.07,영약 하나 얻으러 황궁에 다시 들어 온 노친네라 하기엔 이건 뭐.... 차라리 권력자가 되고 싶어 다시 들어 왔다는 설정이 더 설득력이 있을듯..,절륜환관 97화,1,댓글 달기
757,무뇌충,24.02.06,다른건 다 괜찮은데 그 놈의 합창하는건 쫌 빼 주시지.. 읽는데 넘 오글거려요. 아이고 느끼해라ㅠㅠ,절륜환관 96화,1,댓글 달기
758,무뇌충,24.02.06,역쉬 쥔공이 환관인 이상 선하기만 할 수 없음이네요.,절륜환관 94화,1,댓글 달기
759,무뇌충,24.02.06,이거 원작자가 중꿔살람인가요? 중화사상을 기똥차게 반영했네요...,절륜환관 72화,1,댓글 달기
760,무뇌충,24.02.04,"씨원하네요. 생소하기도 하고요. 원래 환관은 당근 악역이나, 엑스트라급이었는데...",절륜환관 30화,1,댓글 달기
761,엘L,23.05.13,잘보고 갑니다,절륜환관 394화,1,댓글 달기
762,연록흔好,23.05.08,아ㅡㅡㅡ,절륜환관 394화,1,댓글 달기
763,현ㅇㅅㅇ,23.03.02,화경이 신화경의 화경이 아닌데 작가분이 한자도 모르고 무협 경지에 대한 지식도 얕으신듯,절륜환관 39화,1,댓글 달기
764,토토로,22.12.07,응 바로 컷!,절륜환관 265화,1,댓글 달기
765,토토로,22.12.04,"캬 통수에 통수에 통수
당신의 뒤통수는 안녕하신가?",절륜환관 128화,1,댓글 달기
766,토토로,22.12.04,로맨틱~,절륜환관 117화,1,댓글 달기
767,토토로,22.12.04,키야,절륜환관 97화,1,댓글 달기
768,토토로,22.12.03,아니 이 정도면 진짜 작가님 전생 내시 아님?ㅋㅋㅋㅋㅋㅋ,절륜환관 48화,1,댓글 달기
769,유한,22.10.25,차기작 예고인가요^^ 주변 상황 어려운 와중에도 제대로 마무리내려 후일담까지 계속해 주셔서 감사합니다. 다음 작품도 기대되네요. 아직 몇 화 분량쯤 더 남은 것 같은데 우리 고자왕야 떠나보내는 데 아쉬움 없길 바랍니다^^,절륜환관 394화,1,댓글 달기
770,심규호,22.10.25,이게 완결인가요?,절륜환관 394화,1,댓글 달기
771,누규게,22.09.21,천화난~,절륜환관 382화,1,댓글 달기
772,누규게,22.09.21,최종빌런 등장,절륜환관 378화,1,댓글 달기
773,누규게,22.09.21,남궁수아 화이팅~,절륜환관 375화,1,댓글 달기
774,누규게,22.09.21,다시 흥미진진하네요 👍,절륜환관 370화,1,2
775,느린걸음,22.09.08,"슈로대의 유제스 곳초가 떠오르네요.

""그것도 나다.""",절륜환관 378화,1,댓글 달기
776,카비,22.09.05,어허 정말 각양각색의 인사들이 달려드누노 ㅋㅋ,절륜환관 301화,1,댓글 달기
777,카비,22.08.27,뛰는 놈 위에 나는 놈이다,절륜환관 128화,1,댓글 달기
778,수라나찰,22.08.22,저 주첨기가 훗날 황제로서 친히 기병 3000을 거느리고 여진 기병 일만을 박살낸 명의 무투파 황제중 하나임.,절륜환관 40화,1,댓글 달기
779,제로섬,22.08.19,ㅋㅋ 천하제일 대고자라니..,절륜환관 33화,1,댓글 달기
780,무조림의극의,22.08.16,저거 먹는데 186화나 걸렸네,절륜환관 186화,1,댓글 달기
781,빡대가리,22.08.14,가만히 포위만 하고있어도 식량문제로 굶어죽을거같은데...,절륜환관 323화,1,댓글 달기
782,연록흔好,22.08.11,이놈도  범인 저놈도 범인일쎄,절륜환관 301화,1,댓글 달기
783,누규게,22.08.05,한극준이랑 싸우는 부분 수정해서 재연재했으면~,절륜환관 368화,1,댓글 달기
784,누규게,22.08.05,급전개로 완결내지마시고 그냥 천천히 연재해주셨으면 좋았을껄.. 너무 아쉽네요..,절륜환관 367화,1,댓글 달기
785,정영기,22.07.28,칼자루  같은 거시기나 시원하게 휘들러 주세요,절륜환관 367화,1,댓글 달기
786,반포자연,22.07.28,"비판하면 덕후애들 모아서 다구리 유도하고
댓글도 못달게 차단하는 유리멘탈 초딩작가",절륜환관,1,댓글 달기
787,글쟁,22.07.07,그냥 연중을 하던가 마무리가 너무 부족하네요,절륜환관,1,댓글 달기
788,도도천사,22.07.05,"아직은 많이 노력해야겠다
작가님",절륜환관 347화,1,댓글 달기
789,상혁,22.06.08,이건 급발진을 넘어서서 급 낭떠러지간거 같은데....,절륜환관 366화,1,댓글 달기
790,굵은악마,22.06.01,"수고하셨습니다.
너무 급한감이 있어서 좀 아쉽지만
따지고보면 아쉽지 않은 결말이 있을까 싶기도해요.
정도의 차이가 있을 뿐.",절륜환관 366화,1,댓글 달기
791,kimokimi,22.06.01,하...오채지작가와 동률  급 마무리인가,절륜환관 366화,1,댓글 달기
792,끼요옷,22.06.01,"문피아에 최종화라고 써있네요
에휴…  질질 끌 때부터 알아봤는데",절륜환관 366화,1,댓글 달기
793,누규게,22.05.31,연참 감사합니다~,절륜환관 365화,1,댓글 달기
794,누규게,22.05.31,"갑자기 완결분위기 ㅜㅜ 😭
제발 아니길..",절륜환관 364화,1,댓글 달기
795,car1223,22.05.31,야 급발진 적당히 해야지,절륜환관 366화,1,댓글 달기
796,십단콤보,22.05.31,음...기다무 전환 계획 없나요 ??,절륜환관 30화,1,댓글 달기
797,늘푸르른남자,22.05.30,어라? 작가님 갑자기 속도감을 찾으셨는데요? 한극준 여기서 진명이 한테 죽으면 완결 뜨는건 아니겠지…,절륜환관 364화,1,댓글 달기
798,누규게,22.05.30,"뭔가 급하게 완결로 가는듯하네요
개인적으로 제일 잼있게 보고있는 작품인데
많이 아쉽네요 ㅜㅜ
오래오래 연재했으면 합니다~",절륜환관 363화,1,댓글 달기
799,이런들저런들,22.05.27,와 이틀 연속 사이다 전개 구구구굿,절륜환관 362화,1,댓글 달기
800,누규게,22.05.26,다 없애버리자~,절륜환관 361화,1,댓글 달기
801,누규게,22.05.21,복수 가즈아~,절륜환관 358화,1,댓글 달기
802,누규게,22.05.21,기가막힌 수싸움 잼있어요~,절륜환관 357화,1,댓글 달기
803,누규게,22.05.17,잼있어요 ㅎㅎ,절륜환관 356화,1,댓글 달기
804,천마,22.05.13,잘보고 갑니다,절륜환관 293화,1,댓글 달기
805,천마,22.05.12,잘보고 갑니다,절륜환관 279화,1,댓글 달기
806,누규게,22.05.10,드디어 청하 가는구나~ \(^^)/,절륜환관 353화,1,댓글 달기
807,늘푸르른남자,22.05.04,"휴재 전 즈음 부터 너무 끌어… 지금도 이정도로 길게쓸 내용이 아닌데
진명이 현경이 되었는데 작가님도 각성을 좀 해주세요",절륜환관 352화,1,댓글 달기
808,정영기,22.05.03,뭔 진도가 이리 안나가 빨리 끝내던지 이리갔다 저리갔다 정신 사나워 디지것네 몇칠 굶고와도 맨 그타령이니 지른게 있으니 하차할수도 없고 참나,절륜환관 351화,1,댓글 달기
809,누규게,22.05.03,"다시 흥미진진 졸잼~

매일 연재했으면 좋겠네",절륜환관 351화,1,댓글 달기
810,대머리아저씨,22.05.01,갑자기 설명없이 대화만 쭉 나열하니까 이상하네 뭔일 있음? 글 스타일이 이상해졌는데,절륜환관 350화,1,댓글 달기
811,누규게,22.04.30,드디어 눈치챘나보네 이제 청하 응징하자~,절륜환관 350화,1,댓글 달기
812,누규게,22.04.26,여래행! 소름 돋았다~,절륜환관 348화,1,댓글 달기
813,연록흔好,22.04.24,"숨을 쉴쉬가 없네!
긴장.흥분.",절륜환관 243화,1,댓글 달기
814,무조림의극의,22.04.24,허허허허 어디서 약을 팔어????,절륜환관 92화,1,댓글 달기
815,정영기,22.04.21,멧돼지 구이 먹어보자,절륜환관 346화,1,댓글 달기
816,최원호,22.04.20,어째 갈수록 지루해지냐,절륜환관 312화,1,댓글 달기
817,정영기,22.04.18,진명아 시원하게 쓸어버리자,절륜환관 344화,1,댓글 달기
818,정영기,22.04.14,거의 끝나가는건가 소장권 백개 넘게 남았는데,절륜환관 343화,1,댓글 달기
819,무조림의극의,22.04.12,천하제일 대 성골고자,절륜환관 33화,1,댓글 달기
820,무조림의극의,22.04.12,해남파멸문 가즈아,절륜환관 31화,1,댓글 달기
821,무조림의극의,22.04.12,트랩은 설치 했고 몰이 사냥을 나가세나~~~~~,절륜환관 30화,1,댓글 달기
822,정영기,22.04.07,열은 데리고 살아야지 ㅎ,절륜환관 340화,1,댓글 달기
823,정영기,22.04.04,2등,절륜환관 338화,1,댓글 달기
824,정영기,22.04.01,달려보자,절륜환관 337화,1,댓글 달기
825,정영기,22.03.30,드뎌 진명의 칼자루같은 빠따가 나오나요,절륜환관 335화,1,댓글 달기
826,늘푸르른남자,22.03.29,뱀 종류인듯 하고 남궁상아의 고독도 처리하게 될듯,절륜환관 334화,1,1
827,늘푸르른남자,22.03.28,절벽이면 무슨 기연이라도 얻으려너,절륜환관 333화,1,댓글 달기
828,JH,22.03.26,"아니 이거 작가 바뀐거 아닌가?
말투도 그렇고 남궁수아.. 말투 바뀐거 신경 안쓰냐 진명?",절륜환관 331화,1,댓글 달기
829,이런들저런들,22.03.24,청하가 조금 불길한데 ㅠ,절륜환관 332화,1,댓글 달기
830,정영기,22.03.23,마이짧아 길~게,절륜환관 331화,1,댓글 달기
831,정영기,22.03.21,좀짧은듯 길~게요,절륜환관 330화,1,댓글 달기
832,백동민,22.03.21,아 이제 재미없다,절륜환관 329화,1,댓글 달기
833,애플파이,22.03.20,여기까지 왔는데. 점점 내용이 맛이 가냐?,절륜환관 329화,1,댓글 달기
834,정영기,22.03.19,칼자루 처럼 딱딱한 빠따는 언제나오냐고요 3달을 안보고 왔는데도 안나오네 빠따를 보여줘,절륜환관 329화,1,댓글 달기
835,정영기,22.03.19,댓글왜없어,절륜환관 315화,1,댓글 달기
836,귤까죠,22.03.12,전투씬 못봐주겠네요 아가리파이터냐..뮈냐  하차합니다..,절륜환관 277화,1,댓글 달기
837,.ㅈㅎ,22.03.03,"수아 어거지로 붙이는거로인해서
재미가없어짐 소사가말하는데 계속쌩까고 지 하고싶은말만하는게 아이러니네",절륜환관 324화,1,댓글 달기
838,이런들저런들,22.02.17,이맛에 고자 못끊지 ㅠ,절륜환관 318화,1,댓글 달기
839,리벨룽겐,22.02.13,"이놈에 장황한 설명과 구호때매 내가 먼저
해탈할 지경이다",절륜환관 280화,1,댓글 달기
840,시월,22.02.11,"너와 너의 강호는 대관절 무엇이었고, 어디서 무엇을 하고 있었는가...",절륜환관 72화,1,댓글 달기
841,시월,22.02.10,심각하게 읽고 있다가 오홍홍홍 한마디에 속수무책으로 웃어버림 아ㅠ,절륜환관 32화,1,댓글 달기
842,이런들저런들,22.02.03,와 ㅠㅜㅠ업뎃리하니 ㅠ 새해 복 많이 받으셔요,절륜환관 310화,1,댓글 달기
843,Wonderland,22.01.27,"작가님, 새해 복 많이 받으시고 올 한 해에도 좋은 작품 부탁드립니다!^^ 독자분들도 모두 복 많이 받으시고 모두 함께 부자되는 2022년!!  기대해 봅니다~^^",절륜환관 309화,1,댓글 달기
844,선생,22.01.25,"독자로서 말하면 재밌고
지나가는 사람으로서 말하자면 볼만합니다",절륜환관 298화,1,댓글 달기
845,선생,22.01.24,"말로는 무엇인들 못할까
보여줘 보여주라고",절륜환관 297화,1,댓글 달기
846,유한,22.01.24,"쟤도 죽는 애구나
이름이 족가태……",절륜환관 308화,1,댓글 달기
847,이런들저런들,22.01.20,홍적주 오랜만~~,절륜환관 307화,1,댓글 달기
848,선생,22.01.20,작가님 파이팅,절륜환관 293화,1,댓글 달기
849,선생,22.01.16,어이쿠 누님 빨리좀 켜지. 띠리링,절륜환관 274화,1,댓글 달기
850,선생,22.01.16,참으로 전투씬은 잘 쓰십니다,절륜환관 271화,1,댓글 달기
851,이수철,22.01.13,뭔내용이지?,절륜환관 304화,1,댓글 달기
852,선생,22.01.13,애들 죽는 줄 알고 개식겁했네. ㅋㅋㅋㅋ 짜릿했다,절륜환관 226화,1,댓글 달기
853,유한,22.01.12,오늘 회차 머릿속에서 장면이 그려지는 듯 해서 넘 좋아요~ 화산파 장면이나 항구 장면 모두요^^,절륜환관 303화,1,댓글 달기
854,선생,22.01.12,,절륜환관 213화,1,댓글 달기
855,곽거병,22.01.10,작가님 연인장비는 좀 부끄럽...,절륜환관 250화,1,댓글 달기
856,네이트2,22.01.07,회귀주인공이 . 강기 화살 날리는거 미리 알면서 강철방패 같은 대비를 하나도 안하다니 아군이 죽던말던 왕만 지키면 끝인가 . 억지스럽네.,절륜환관 68화,1,1
857,성우,22.01.07,"확실히 재미는 있는데 확실히, 설명의 길이가 작품에 대한 호감을 떨어뜨린다. 전개 패턴의 반복에 대한 지루함.",절륜환관 293화,1,댓글 달기
858,이런들저런들,22.01.03,오늘도 잘봤어요,절륜환관 298화,1,댓글 달기
859,지오,21.12.31,"흠~ 그럼 중원재패를 꿈꾸는 이가 둘 이란거네...
하나는 정권 탈환이고 하나는 복수인것이고
맞는건가?",절륜환관 296화,1,댓글 달기
860,셀세타,21.12.31,지들 전력 깍인건 생각안하고 뜬금 극마둘 생겼다고 너무 급발진 아닌가?,절륜환관 297화,1,댓글 달기
861,신동혁(턴턴,21.12.31,평점1.2점 주는걸 상관하는  쫌팽이는 뭘까,절륜환관 296화,1,1
862,kimjh,21.12.27,이렇게 디테일할수가  ㆍㆍㆍ ㆍ현장에있는듯,절륜환관 50화,1,댓글 달기
863,kimjh,21.12.27,이야기의  비틀림이  절묘하다,절륜환관 45화,1,댓글 달기
864,kimjh,21.12.27,이렇게  재밌을수가ㆍ ㆍ,절륜환관 43화,1,댓글 달기
865,정영기,21.12.21,칼자루 같은 빳따가필요해,절륜환관 291화,1,댓글 달기
866,늘푸르른남자,21.12.20,무력으로는 정말 당할자가 없겠는데요,절륜환관 290화,1,댓글 달기
867,수울,21.12.20,끼요오오옷 차오른다,절륜환관 290화,1,댓글 달기
868,IJ,21.12.20,와 이제 먼치킨이 되버렸군요ㄷㄷ,절륜환관 290화,1,댓글 달기
869,빈체로,21.12.17,제발  한편만 더~,절륜환관 289화,1,댓글 달기
870,늘푸르른남자,21.12.15,잉 왠지 도서시가 진명이 한테 걸릴거 같은데…,절륜환관 288화,1,댓글 달기
871,P.J,21.12.14,"말이 길어 지겨워질라고함, 진도가 너무 느림",절륜환관 271화,1,댓글 달기
872,류흠냥,21.12.08,잘봤습니다~~ 좋아요 좋아!!,절륜환관 284화,1,댓글 달기
873,타이탄,21.12.07,"무리하지 마시고, 항상 몸관리 잘하세요.
급하지 않고 편안한 글 쓰시길 바랍니다.
언제나 잘 보고 있어요.",절륜환관 282화,1,댓글 달기
874,춥다다다다,21.12.04,재미있게 잘봤습니다. 뭐든 첫번째가 건강입니다. 오랫동안 작가님의 작품을 볼수있으면 좋겠습니다. 작가님의 앞날에 좋은일들만 있기를! 그런의미로 연참좀..,절륜환관 281화,1,댓글 달기
875,타이탄,21.12.03,"잘보고 있습니다.
모든 일 다 평안하게 잘 되시고,
돌아오시길 기다립니다.",절륜환관 280화,1,댓글 달기
876,shan,21.12.02,기다렸습니다 재밌어요 힘내세요 좋은일만 있으실겁니다,절륜환관 280화,1,댓글 달기
877,호도리,21.12.02,이제 계속 연재하는건가?,절륜환관 280화,1,댓글 달기
878,못찌,21.12.01,곧 완결이겠네 이거 ㅜㅜ,절륜환관 279화,1,댓글 달기
879,손갱,21.11.18,진짜 필력하나는…,절륜환관 271화,1,댓글 달기
880,그렌저5,21.11.13,왜연재가  안되나요,절륜환관,1,2
881,혼자우는새,21.11.07,"모든일 잘 정리하시고
기운내서 돌아오세요
그때도 좋은글 밤새며 봐 드릴게요",절륜환관 279화,1,댓글 달기
882,코르데리아,21.11.07,작가님 힘내세요!,절륜환관 279화,1,댓글 달기
883,수울,21.11.06,작가님 부디 힘내시고 잘 쉬셔서 돌아오시길 기원하겠습니다.,절륜환관 279화,1,댓글 달기
884,시칠리아,21.11.03,ㅋㅋㅋㅋㅋㅋ 진짜 어디에나 있네,절륜환관 128화,1,댓글 달기
885,느린걸음,21.11.02,오마주라고 하기엔...,절륜환관 279화,1,2
886,수산시험장,21.11.01,한마디로 드언신이란거지 한치앞도 모르는 남진무사 아주 지옥문을 열어달라고 재촉을 하네,절륜환관 128화,1,댓글 달기
887,silk,21.10.26,크~ 역시 진명!!! 시원하구나~^^*,절륜환관 252화,1,댓글 달기
888,Wonderland,21.10.21,앗싸 연참이다!!  끼 요옷~!^^,절륜환관 274화,1,1
889,신동혁(턴턴,21.10.21,캬 ~~~~~악  ~~~재미지다,절륜환관 273화,1,댓글 달기
890,수울,21.10.18,진짜....극이나 영화 같아서 진짜 항상 보면서 소름돋네요,절륜환관 271화,1,댓글 달기
891,지오,21.10.17,"내가 이래서 이걸 못 끊어요.
자주 보았던 금의위의 영상을 떠올리며
글의 힘을 더하니....
천지개벽 그 위상이 눈 앞에 선하게 그려지네
아 취한다~",절륜환관 271화,1,댓글 달기
892,김도현,21.10.07,환불 마렵다 ♪♪♩..비구니들 비명으로 다 채워버리네. 결국 이번 화 남은거라고는 진명일행 떠나고 있는 중이라는거랑 보타 비구니년들 숨넘어가기 직전에 할배둘이 살려줄거라는거 밖에 없음. 너무 심하다. 이럴거면 장기휴재하고 분량을 좀 쌓아서 오세요..,절륜환관 267화,1,댓글 달기
893,이수철,21.10.06,이게글이가,절륜환관 267화,1,댓글 달기
894,손갱,21.10.02,고자멋져..아..이제 고자가 아니지ㅠㅠㅛㅣ무룩,절륜환관 265화,1,댓글 달기
895,천마,21.10.02,잘보고 갑니다,절륜환관 265화,1,1
896,하늘위푸른바다,21.10.01,선택 해라~ 연참인지 잠수인지.,절륜환관 264화,1,댓글 달기
897,박경규,21.09.29,"세상 베리면 다시 집필하소

삼가 고인의 명복을 빕니다

미리",절륜환관 262화,1,댓글 달기
898,혼자우는새,21.09.29,"글올라왔나 확인하는 내 손가락을 거세하고 싶다
공지좀 해라 아님 미련없이 접고 개인 사정 돌보던가",절륜환관 262화,1,댓글 달기
899,호도리,21.09.28,공지도 없이 몇일을 쉬는거야,절륜환관 262화,1,댓글 달기
